city,latitude,longitude,temperature,humidity,cloudiness,wind,datetime,country
rikitea,-23.1203,-134.9692,78.64,80,10,12.24,1620145198,PF
touros,-5.1989,-35.4608,82.4,74,75,11.5,1620145199,BR
vostok,46.4856,135.8833,38.79,92,100,5.93,1620145201,RU
tessalit,20.1986,1.0114,106.77,2,0,6.64,1620145202,ML
flinders,-34.5833,150.8552,58.57,94,100,1.01,1620145203,AU
nanortalik,60.1432,-45.2371,43.16,56,76,12.37,1620145205,GL
cape town,-33.9258,18.4232,65.66,77,40,10.36,1620145082,ZA
santa rosa,14.3122,121.1114,84.06,74,20,5.75,1620145207,PH
bengkulu,-3.8004,102.2655,77.36,89,100,4.59,1620145209,ID
faanui,-16.4833,-151.75,82.38,69,100,12.91,1620145210,PF
lebu,-37.6167,-73.65,57.06,56,7,6.08,1620145211,CL
kapaa,22.0752,-159.319,67.53,88,20,10.36,1620145213,US
inhambane,-23.865,35.3833,75.09,46,20,5.75,1620145214,MZ
krasnogorskoye,52.2953,86.1979,41.56,79,100,4.38,1620145215,RU
lagoa,39.05,-27.9833,62.89,85,97,9.57,1620145217,PT
ystad,55.4297,13.8204,48,87,75,14.97,1620145218,SE
saint george,37.1041,-113.5841,67.48,25,1,1.21,1620145220,US
ushuaia,-54.8,-68.3,46.4,66,75,25.32,1620145066,AR
pampas,-12.4,-74.9,59.43,52,100,6.35,1620145222,PE
butaritari,3.0707,172.7902,83.19,77,49,17,1620145223,KI
albany,42.6001,-73.9662,54.9,89,100,3.58,1620145032,US
fort nelson,58.8053,-122.7002,42.8,87,90,4.61,1620145226,CA
rio gallegos,-51.6226,-69.2181,44.6,57,0,23.02,1620145227,AR
winneba,5.3511,-0.6231,86,70,0,20.71,1620145228,GH
nishihara,26.1842,127.7558,73.31,88,40,14.97,1620145230,JP
busselton,-33.65,115.3333,61.83,93,100,4,1620145231,AU
sobolevo,54.4299,31.8996,45.39,62,98,15.05,1620145232,RU
punta arenas,-53.15,-70.9167,46.2,71,75,25.32,1620145234,CL
puerto boyaca,5.9758,-74.5885,86.83,57,70,1.21,1620145110,CO
vilhena,-12.7406,-60.1458,84.2,65,40,6.91,1620145236,BR
kodiak,57.79,-152.4072,39.2,87,90,8.05,1620145237,US
bluff,-46.6,168.3333,51.01,76,65,5.99,1620145239,NZ
saint-philippe,-21.3585,55.7679,74.16,83,90,5.75,1620145240,RE
castro,-24.7911,-50.0119,77.54,38,3,4.9,1620145241,BR
vaini,-21.2,-175.2,77,78,75,10.36,1620145243,TO
georgetown,5.4112,100.3354,79.45,94,20,4.61,1620145244,MY
